cq,set,score,read_Flesch_kincaid_grade,read_Coleman_liau,read_Automated_readability,read_Gunning_fog,read_Dale_chall_readability,read_Linsear_write,read_Clauses,relevance_binary,relevance_likert,length,c1_complexity,c1_concepts,c1_properties,c1_relationships,c1_filters,c1_cardinality_hint,c1_aggregation_hint
Which music works are associated to an item?,2,2,8.8,6.45,4.4,8.2,9.95,4.0,0,Y,4,44,4.0,2,0,1,0,1,0
Which music artists are associated to an item?,2,2,10.0,7.9,5.6,8.2,9.95,4.0,0,Y,4,46,4.0,2,0,1,0,1,0
Are there any copyright restrictions on the multimedia files?,2,2,11.5,14.47,10.8,16.93,11.1,6.5,1,Y,4,61,5.0,2,1,1,0,1,0
What is the resolution or quality of each multimedia file?,2,2,10.7,9.08,6.6,16.0,8.87,7.0,2,Y,4,58,4.0,1,2,0,0,1,0
What is the format of each multimedia file?,2,2,6.4,5.76,3.8,8.2,7.98,4.0,1,N,1,43,3.0,1,1,0,0,1,0
Give me all the videos associated to a given item,2,2,9.6,4.44,2.4,12.0,8.87,6.0,0,Y,4,49,4.0,2,0,1,0,1,0
Give me all the audio recordings associated to a given item,2,2,11.1,7.35,5.0,15.31,9.92,7.5,0,Y,4,59,6.0,2,1,1,1,1,0
Which is the primary image of the item if available?,2,2,8.4,5.6,3.8,12.0,10.45,6.0,2,Y,4,52,5.0,2,1,1,1,0,0
Give me all the images associated to a given item,2,2,9.6,4.44,2.4,12.0,8.87,6.0,0,Y,4,49,4.0,2,0,1,0,1,0
To which specific period or era does this item belong?,2,2,8.4,6.76,4.8,12.0,10.45,6.0,1,Y,4,54,3.0,2,0,1,0,0,0
To which music genres can this item be associated?,2,2,9.2,7.39,5.1,8.04,9.35,4.5,0,Y,4,50,4.0,2,0,1,0,1,0
Are there any items in the collection related to this item?,2,2,7.6,6.82,5.0,11.67,9.92,6.5,1,Y,4,59,3.0,1,0,1,0,1,0
Is this item part of a larger set?,2,2,2.9,-0.81,-1.6,3.2,7.98,3.0,1,N,1,34,4.0,2,0,1,0,1,0
What is the caption of the item that is displayed at the museum?,2,2,6.0,4.57,3.9,8.28,9.14,6.5,2,N,1,64,5.0,1,1,2,1,0,0
What is the main textual description associated to an item?,2,2,10.7,9.66,7.1,16.0,12.03,7.0,0,Y,4,59,5.0,2,1,1,1,0,0
What is the name or title of an item?,2,2,2.1,-1.03,-1.9,3.6,5.84,3.5,2,Y,4,37,3.0,1,2,0,0,0,0
What is the broad category of an item?,2,2,5.2,2.1,0.8,8.2,7.98,4.0,1,Y,4,38,5.0,2,2,1,0,0,0
What is the duration of each audio or video recording?,2,2,9.6,6.76,4.8,20.0,10.45,8.0,2,N,1,54,4.0,1,1,0,1,1,0
Which colours are associate to the item?,2,0,7.2,7.37,5.0,8.51,10.75,3.5,0,N,1,40,5.0,2,1,1,0,1,0
Was an item involved in the creative process of a work?,2,0,6.4,4.74,3.3,8.04,9.92,5.5,2,Y,4,55,5.0,2,0,1,1,1,0
Who acquired the Gibson J-160E?,3,0,5.2,7.28,6.5,10.0,16.52,2.5,0,Y,4,31,6.0,2,1,1,1,1,0
Find items with a (specific) loan start date?,3,0,4.1,5.76,4.9,8.2,7.98,4.0,1,Y,4,45,5.0,2,1,1,0,1,0
What is an associated artist of an item?,3,0,8.8,3.55,2.0,8.2,7.98,4.0,1,Y,4,40,4.0,2,0,1,0,1,0
What is the type of an item?,3,0,0.1,-2.55,-3.2,2.8,8.5,2.5,1,Y,4,28,4.0,2,1,1,0,0,0
Which guitar was used by John Lennon?,3,0,2.5,4.94,2.9,2.8,10.75,2.5,1,Y,4,37,6.0,2,1,1,1,1,0
What is the loan start date of an item to the British Music Experience?,3,0,6.4,5.73,5.1,8.46,7.71,7.0,1,Y,4,71,6.0,2,1,1,1,1,0
Find items in good condition,3,0,5.2,6.12,3.7,10.0,10.2,2.5,1,Y,4,28,4.0,1,1,0,1,1,0
Which manuscripts require no direct lighting exposure?,3,0,11.9,18.97,14.4,19.94,13.01,5.5,0,Y,4,54,4.0,1,1,0,1,1,0
Which item require no direct lighting exposure?,3,0,10.7,13.17,9.7,14.23,13.01,4.5,0,Y,4,47,4.0,1,1,0,1,1,0
What security measures do I need to display an item?,3,0,7.2,5.6,3.8,8.0,10.45,5.0,0,Y,4,52,6.0,2,2,1,0,1,0
How many years does the loan agreement cover the Ziggy Stardust Jumpsuit?,3,0,8.0,11.3,8.9,8.13,10.81,6.0,0,Y,4,73,6.0,2,2,1,1,0,0
Find stage costumes associated with David Bowie.,3,0,10.7,14.04,10.3,8.51,13.01,3.5,1,Y,4,48,6.0,2,1,1,1,1,0
What an item has the serial number (Unique identifier)?,3,0,11.5,9.31,7.7,12.49,11.1,5.5,0,Y,4,55,2.0,1,1,0,0,0,0
Which are the associated events of an item?,3,0,8.8,5.76,3.8,8.2,9.95,4.0,1,Y,4,43,4.0,2,0,1,0,1,0
Do the display requirements have specific values of lighting?,3,0,9.2,14.47,10.8,12.49,12.86,5.5,1,Y,4,61,6.0,2,1,1,1,1,0
Which are the associated works of an item?,3,0,6.4,5.0,3.2,8.2,9.95,4.0,1,Y,4,42,4.0,2,0,1,0,1,0
What is the name of an experiment step?,3,0,4.1,2.86,1.4,8.2,6.01,4.0,1,N,1,39,2.0,1,1,0,0,0,0
Does the Rock & Roll Hall of Fame provide insurance for the handwritten lyrics?,3,0,7.2,10.37,9.0,11.35,10.35,8.0,3,Y,4,79,7.0,2,1,1,2,1,0
Do the display requirements have specific values of humidity control?,3,0,11.9,15.46,11.8,16.0,13.61,7.0,1,Y,4,69,4.0,1,1,0,1,1,0
Find an item associated with a music artist,3,0,10.0,6.45,3.8,8.2,7.98,4.0,2,Y,4,43,4.0,2,0,1,0,1,0
Which are the associated events of the Ziggy Stardust Jumpsuit?,3,-2,9.6,11.98,9.0,8.0,12.03,5.0,1,Y,4,63,6.0,2,1,1,1,1,0
Which museum borrowed the Gibson J-160E on loan?,3,-2,5.2,8.66,6.7,8.2,13.9,4.0,1,Y,4,48,5.0,2,1,1,1,0,0
Does the British Music Experience provide insurance for the Gibson J-160E?,3,-2,9.9,14.25,11.5,11.67,14.23,6.5,1,Y,4,74,8.0,2,2,1,2,1,0
Which are the associated works of the Gibson J-160E?,3,-2,6.8,8.03,6.1,8.04,12.86,4.5,1,Y,4,52,7.0,2,2,1,1,1,0
Does an insurer provide insurance for an item?,3,-2,8.8,7.9,5.6,13.2,11.93,5.0,1,Y,4,46,4.0,2,0,1,0,1,0
Where do I display the Ziggy Stardust Jumpsuit?,3,-2,5.2,8.66,6.1,3.2,11.93,3.0,0,Y,4,47,6.0,2,1,1,1,1,0
Who acquired the Ziggy Stardust Jumpsuit?,3,-2,8.0,12.98,9.8,9.07,14.46,3.0,0,Y,4,41,5.0,2,1,1,1,0,0
Do the display requirements have stable values of temperature and humidity?,3,-2,11.1,15.29,11.9,15.31,11.36,7.5,2,Y,4,75,5.0,1,2,0,1,1,0
Does an insurer provide insurance for an item?,3,-2,8.8,7.9,5.6,13.2,11.93,5.0,1,Y,4,46,4.0,2,0,1,0,1,0
Where do I display an item?,3,-2,2.1,-0.54,-1.2,2.4,9.2,2.0,0,Y,4,27,5.0,2,1,1,0,1,0
Do the display requirements have climate-controlled values of humidity control?,3,-2,13.1,20.68,16.5,12.0,15.19,7.0,1,Y,4,79,5.0,1,2,0,1,1,0
Do the display requirements have climate-controlled values of lighting?,3,-2,10.3,20.27,16.0,8.04,14.61,5.5,1,Y,4,71,4.0,1,2,0,0,1,0
What items from Sonia’s collection are currently on loan to the British Music Experience (BME)?,4,2,10.3,11.88,11.5,14.0,11.75,10.5,2,Y,4,95,11.0,3,2,2,3,1,0
"What is the complete provenance history of a given item, including previous owners, acquisition dates, and prior loans to other institutions?",4,2,16.2,15.03,16.2,17.92,12.95,16.5,2,Y,4,141,8.0,4,1,2,0,1,0
"Which items in the museum’s collection are on temporary loan, and what are their respective loan start and end dates?",4,2,9.9,10.27,11.6,16.0,9.37,14.0,4,Y,4,117,7.0,2,2,1,1,1,0
"What is the current status of the loan agreement for a specific item (e.g., active, expired, indefinite, donated)?",4,2,9.2,9.31,8.5,12.49,13.73,5.5,2,Y,4,114,5.0,2,1,1,1,0,0
"Which institutions have previously borrowed a specific item, and during which periods?",4,2,13.9,17.1,14.0,18.13,12.13,9.0,2,Y,4,86,7.0,3,1,1,1,1,0
"What cataloguing information is available for a given item (e.g., type, brand, model, serial number, associated artists, associated works)?",4,2,15.3,14.53,13.3,14.33,14.91,6.75,1,Y,4,139,10.0,3,4,2,0,1,0
"What multimedia content (images, videos, audio recordings) is associated with a specific item, and how can it be accessed?",4,2,16.6,12.65,13.8,22.34,12.89,16.5,2,Y,4,122,7.0,2,2,1,1,1,0
"What is the historical and cultural significance of a given item, as described by the donor or curator?",4,0,12.7,9.51,10.1,16.09,10.67,13.0,5,Y,4,103,7.0,2,3,1,1,0,0
"What metadata fields are mandatory for each type of item (e.g., instrument, costume, manuscript), and which are optional or type-specific?",4,2,9.6,12.85,11.6,16.0,13.61,7.0,4,Y,4,138,7.0,2,3,1,0,1,0
"What is the current condition of a specific item, including any documented damage or conservation treatments?",4,2,15.4,15.77,14.3,18.9,12.33,13.0,2,Y,4,109,11.0,3,4,2,2,0,0
Are there annotated photographs or reports highlighting specific areas of concern or interest on an item?,4,2,13.1,14.67,13.1,18.9,13.31,13.0,4,Y,4,105,8.0,2,2,1,2,1,0
"What is the conservation history of an item, including dates and types of treatments performed?",4,0,10.3,12.69,11.5,11.33,11.75,10.5,3,Y,4,95,6.0,2,2,1,0,1,0
"What are the display requirements for a specific item (e.g., case type, lighting, environmental controls)?",4,2,8.6,12.83,11.2,11.0,14.54,4.25,1,Y,4,106,8.0,2,3,1,1,1,0
What handling and security instructions are associated with an item while on display or in storage?,4,2,11.9,12.53,11.3,13.9,11.34,11.0,6,Y,4,99,8.0,2,2,1,2,1,0
"Which items require special display equipment (e.g., custom mannequins, acid-free matting) or environmental conditions?",4,2,14.3,20.66,17.7,17.09,18.65,5.0,1,Y,4,119,7.0,2,2,0,2,1,0
"What items loaned by Sonia are currently visible to her via the dashboard, and what information can she access or update?",4,0,11.5,10.04,11.7,14.11,12.2,13.5,4,Y,4,121,11.0,3,3,2,2,1,0
What is the communication history between Sonia and the museum regarding a specific item or loan agreement?,4,2,14.6,13.11,12.3,18.56,10.98,14.5,3,Y,4,107,12.0,5,2,2,2,1,0
"What changes or updates have been made to the metadata or status of a loaned item, and by whom?",4,0,7.2,5.63,7.1,9.71,9.57,10.5,5,Y,4,95,8.0,2,4,1,0,1,0
"In which exhibitions or display cases has a specific item been featured, and during what time periods?",4,0,11.1,11.08,10.9,13.86,10.98,11.5,4,Y,4,102,7.0,3,1,1,1,1,0
"What is the current physical location of a specific item (e.g., on display, in storage, in transit)?",4,2,6.6,6.57,6.1,10.46,13.35,4.75,4,Y,4,100,4.0,2,1,1,0,0,0
"What is the audit trail of an item’s movement between museums, exhibitions, and storage locations?",4,2,11.5,13.04,12.4,14.0,12.8,10.5,3,Y,4,98,9.0,4,2,2,0,1,0
"What are the terms of the loan agreement for a specific item (e.g., compensation, insurance, transport arrangements)?",4,0,9.0,12.37,10.8,15.16,13.35,5.75,2,Y,4,117,5.0,2,1,1,1,0,0
"Who is responsible for insurance and transport of a loaned item, and what are the coverage details?",4,0,9.9,10.03,10.1,13.86,10.98,11.5,4,Y,4,99,12.0,3,3,5,0,1,0
"What compensation or benefits (e.g., tax deduction, annual fee) are associated with a specific loan or donation?",4,2,11.3,11.04,9.4,19.87,13.35,6.75,3,Y,4,112,9.0,2,3,1,2,1,0
"How does the addition of a new item from Sonia’s collection enrich the museum’s knowledge base (e.g., new artists, works, or historical periods represented)?",4,0,10.3,11.82,10.9,14.8,13.44,8.0,3,Y,4,157,10.0,6,0,2,1,1,0
What gaps or overlaps exist in the museum’s collection after integrating Sonia’s loaned items?,4,0,12.3,14.43,12.8,17.03,14.48,11.0,3,Y,4,94,7.0,2,1,1,2,1,0
"What are the different types of artifacts in the collection (e.g., Instrument, Stage Costume, Manuscript)?",5,2,7.4,12.83,11.2,13.67,12.43,5.25,2,Y,4,106,3.0,1,1,0,0,1,0
"What specific attributes are relevant for an Instrument (e.g., Brand, Model, Serial Number, Type: Acoustic-electric)?",5,0,10.9,15.91,14.7,19.0,15.59,5.75,1,Y,4,117,6.0,1,4,0,0,1,0
"What specific attributes are relevant for a Stage Costume (e.g., Designer, Description)?",5,0,11.5,15.65,14.8,21.47,14.76,11.0,1,Y,4,88,4.0,1,2,0,0,1,0
"What specific attributes are relevant for a Manuscript (e.g., Description, Medium: Handwritten)?",5,0,12.7,16.4,14.9,25.73,15.78,5.5,1,Y,4,96,3.0,1,1,0,0,1,0
"Which Artist(s) are associated with a specific artifact (e.g., Gibson J-160E -> John Lennon, George Harrison)?",5,2,9.8,12.43,12.1,13.67,17.69,5.0,1,Y,4,110,5.0,2,1,1,0,1,0
"Which Work(s) (e.g., album, song) are associated with a specific artifact (e.g., Gibson J-160E -> ""Please Please Me"" album; Handwritten Lyrics -> ""Bohemian Rhapsody"")?",5,2,9.7,11.67,13.1,13.83,14.05,5.0,1,Y,4,167,5.0,2,1,1,0,1,0
"Which Event(s) (e.g., tour, recording session) are associated with a specific artifact (e.g., Ziggy Stardust Jumpsuit -> Ziggy Stardust tour)?",5,2,9.3,12.12,12.2,10.94,14.75,3.666666667,1,Y,4,142,6.0,2,1,1,1,1,0
"What is the unique identifier (e.g., catalog number, serial number if applicable) for a given artifact?",5,2,12.3,9.7,8.5,15.7,11.93,5.5,2,Y,4,103,2.0,1,1,0,0,0,0
"How can we retrieve all artifacts associated with a specific Artist (e.g., David Bowie)?",5,2,12.3,10.72,10.8,14.17,13.35,9.0,1,Y,4,88,6.0,2,1,1,1,1,0
"How can we retrieve all artifacts classified as a specific Type (e.g., Stage Costume)?",5,0,8.8,9.91,10.1,14.17,13.35,9.0,1,Y,4,86,4.0,1,1,0,1,1,0
Who was the original owner of a specific artifact (if known)?,5,2,8.8,6.82,5.9,15.31,8.49,7.5,2,Y,4,61,4.0,2,0,1,1,0,0
"Who is the current owner of a specific artifact (e.g., Sonia)?",5,2,7.6,5.78,6.3,11.67,12.79,6.5,1,Y,4,62,5.0,2,1,1,1,0,0
"How and when did the current owner (e.g., Sonia) acquire a specific artifact?",5,0,7.0,6.09,5.4,11.83,12.46,3.75,1,Y,4,77,8.0,3,1,2,2,0,0
Has a specific artifact been loaned out previously? To which institutions and during which dates?,5,0,7.4,11.67,8.4,13.67,10.32,4.75,2,Y,4,97,9.0,3,2,2,1,1,0
What is the complete ownership history (provenance trail) for a given artifact?,5,2,10.3,13.27,11.3,14.8,10.81,9.0,1,Y,4,79,5.0,2,1,1,0,1,0
"What is the recorded general condition (e.g., Excellent, Fair, Good, Fragile, Delicate) of a specific artifact?",5,2,10.0,11.56,10.8,18.2,12.92,6.5,1,Y,4,111,2.0,1,1,0,0,0,0
"What specific damage (e.g., scratches, fraying, fading, creasing, foxing) is noted for a particular artifact?",5,2,9.8,13.24,12.1,11.0,15.59,4.25,1,Y,4,109,5.0,2,1,1,0,1,0
"What conservation treatments has a specific artifact undergone, and when?",5,2,11.9,17.2,13.7,20.0,12.03,8.0,1,Y,4,73,7.0,2,2,1,1,1,0
How can we find all artifacts currently assessed as being in 'Fragile' or 'Delicate' condition?,5,0,10.3,11.53,11.5,16.67,10.7,11.5,3,Y,4,95,5.0,1,1,0,2,1,0
"What are the specific display case requirements for an artifact (e.g., Secure, Climate-controlled)?",5,2,10.7,17.1,16.6,14.43,15.21,10.5,1,Y,4,99,5.0,2,1,1,0,1,0
"What are the lighting requirements for displaying an artifact (e.g., Low-level, UV-filtered, Indirect)?",5,2,8.2,15.89,14.8,14.91,14.89,4.25,1,Y,4,103,5.0,2,1,1,0,1,0
"Are there specific handling instructions (e.g., White gloves required)?",5,0,7.4,14.4,13.8,15.13,16.14,2.75,0,Y,4,71,3.0,1,1,0,0,1,0
"What level of security is required for a specific artifact (e.g., 24/7 monitoring, High-level, Alarms, CCTV)?",5,2,13.5,10.45,10.3,18.2,14.89,6.5,2,Y,4,109,6.0,2,2,1,1,0,0
"Does an artifact require specific environmental controls (e.g., humidity control)?",5,2,17.8,20.1,18.0,24.0,18.34,9.0,0,Y,4,82,6.0,2,1,1,1,1,0
Does a costume require a custom-fit mannequin?,5,2,10.7,11.55,9.0,14.23,13.01,5.5,0,Y,4,46,6.0,2,1,1,1,1,0
"Does a manuscript require specific framing (e.g., Acid-free matting, UV-filtering glass)?",5,2,10.2,15.76,15.1,16.75,18.26,3.75,0,Y,4,89,7.0,2,1,1,2,1,0
"Who is the donor/lender (e.g., Sonia) for a specific loaned artifact?",5,2,5.4,6.31,6.6,9.47,15.39,3.25,1,Y,4,69,5.0,3,0,2,0,0,0
"Who is the borrower (e.g., BME, V&A, Rock & Roll Hall of Fame) for a specific loan agreement?",5,2,4.2,3.15,3.9,10.46,11.49,5.0,4,Y,4,93,4.0,2,0,1,1,0,0
