cq,relevance_score,relevance_rationale
How many items related to Queen does the museum own?,3,"The user story describes the creation and enrichment of a museum's knowledge base, which includes cataloguing information like ""Associated Artist"" (e.g., ""Queen"" in the example data). The example data also indicates that loaned items can become ""full donation[s],"" meaning the museum would own them and this information would be part of the knowledge base. A fundamental purpose of a knowledge base, especially one used by a museum manager (like Liz, a persona in the user story), is to be queryable. Therefore, the ability to count items owned by the museum related to a specific artist can be inferred as a requirement using common sense and domain knowledge about museum collection management systems and knowledge bases. This query directly leverages the data explicitly mentioned as being captured and managed by the system."
How many items of type manuscript does the museum own?,3,"The user story describes a system for managing items loaned to the museum, which are added to the museum's 'knowledge base' and 'collection'. The example data explicitly includes an item of 'Type: Manuscript' and a 'Loan Agreement' that allows for 'Full donation,' implying the museum can take ownership of such items. If the museum's knowledge base, populated via this system, contains information about owned items and their types, it is a common-sense inference from museum collection management domain knowledge that the system should support queries about the count of such items. This capability is a fundamental aspect of managing a collection and utilizing a knowledge base, making the competency question relevant as an inferred requirement."
What are the different types of display requirements?,4,"The user story explicitly states that 'display requirements' are collected as part of the information for an artifact. The 'Example Data' section further elaborates on this by providing structured examples of display requirements for different items. These examples are itemized with clear labels such as 'Display case:', 'Lighting:', 'Handling:', 'Security:', 'Mannequin:', 'Environment:', and 'Framing:'. These labels directly correspond to 'different types of display requirements.' Therefore, the competency question addresses a requirement (the need to identify and understand these types) that is explicitly demonstrated and itemized within the user story's provided examples."
Who is responsible for the acquisition of an item in the museum?,4,"The user story explicitly describes Liz, the museum manager, as the one who 'carefully reviews each item,' where 'a selection of items is identified' (implying her decision-making role), and who then 'utilises the BME dashboard to systematically add each item to the knowledge base.' These explicitly stated actions are central to the museum's process of acquiring (in this context, accepting on loan) an item, thereby directly addressing who is responsible for these critical steps in the acquisition process described."
What is the type of association between an artefact and an artist?,4,"The user story explicitly requires capturing 'Associated Artists' as part of 'Cataloguing information' (Example Data). It also mandates capturing 'Associated Works', 'Associated Events', and the 'complex history and significance' of items. These pieces of information collectively define and describe the *type* of association between an artefact and an artist (e.g., an artist played an instrument on a specific album, wore a costume during a particular tour, or created a manuscript). The competency question asks for this type, and the system is explicitly required to capture the information that determines this type. The user story's question, 'How will the system capture and store the complex history and significance of iconic items...', further implies that the nature (type) of such associations is a critical piece of information to be captured."
What artist is the item associated with?,4,"The user story explicitly lists 'Associated Artists' or 'Associated Artist' as a key piece of 'Cataloguing information' in all three provided 'Example Data' instances (e.g., 'Associated Artists: John Lennon, George Harrison' for the Gibson guitar; 'Associated Artist: David Bowie' for the jumpsuit). The competency question directly addresses this explicitly stated requirement for capturing artist information associated with an item."
Is an item an original or a copy?,3,"The user story focuses on loaning ""valuable and iconic items"" and capturing their ""provenance"" and ""cataloguing information."" In a museum context, determining whether an item is an original or a copy is a fundamental aspect of its identity, value, and provenance. While not explicitly stated in the exact words, this distinction is strongly implied by the emphasis on these aspects and can be inferred through common sense and domain knowledge about museum collections and the nature of iconic artifacts. The system would need to capture this information to accurately document the items as described."
How was an item acquired?,4,The user story explicitly mentions that 'provenance' is a key piece of information collected for each item. The provided example data for artifacts like 'The Gibson J-160E Guitar' and 'David Bowie's Ziggy Stardust Jumpsuit' further details under 'Provenance' the field 'Acquired by Sonia: (Date and method of acquisition)'. The competency question 'How was an item acquired?' directly addresses this 'method of acquisition' which is an explicit requirement for documenting an item's provenance.
What organisation borrowed an item?,4,"The user story explicitly states that 'loan agreements' are part of the information collected for an item. The 'Example Data' section provides concrete examples of 'Loan Agreement' details, which include a 'Borrower' field specifying the organisation (e.g., 'Borrower: British Music Experience (BME)'). The competency question 'What organisation borrowed an item?' directly addresses this explicitly mentioned data point."
Is an item on loan?,4,"The user story explicitly states that Sonia can maintain an 'ongoing overview of her loaned items, including the status of loan agreements.' Determining if an item is currently 'on loan' is a fundamental aspect of its loan status and is directly covered by the system's requirement to manage and display information about 'loaned items' and their 'loan agreements,' including start and end dates as shown in the example data."
Is an item currently in the museum?,4,"The user story explicitly states that the system should 'track the movement of loaned items between different museums and exhibitions' (under the 'Questions' section, which highlights system capabilities) and that Sonia should be able to 'maintain an ongoing overview of her loaned items'. Knowing whether an item is 'currently in the museum' is a fundamental piece of information required for tracking its movement and providing such an overview. Therefore, the competency question directly addresses a requirement explicitly expressed in the user story."
How should an item of type manuscript be displayed?,4,"The user story explicitly states that 'display requirements' are collected for each item. Furthermore, it provides a detailed example of a 'Manuscript' item ('Handwritten Lyrics for ""Bohemian Rhapsody""') and lists its specific 'Display Requirements,' directly addressing the information sought by the competency question."
How should an item of type guitar be displayed?,4,"The user story explicitly states that ""display requirements"" are among the various pieces of information collected for an artifact when it's added to the knowledge base (Scenario: ""When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements...""). Furthermore, the ""Example Data"" section provides a detailed list of ""Display Requirements"" for ""The Gibson J-160E Guitar."" The competency question ""How should an item of type guitar be displayed?"" directly asks for this specific information, which the system is explicitly required to capture and manage. The question at the end of the user story, ""Will the system record the display requirements and care instructions for each item..."", further reinforces this explicit requirement."
Are there display requirements for an item?,4,"The user story explicitly mentions 'display requirements' multiple times. In the 'Scenario' section, it states that when adding an item, 'various information of the artefact is collected, including: ... display requirements...'. The 'Example Data' section provides detailed 'Display Requirements' for each listed item. Furthermore, one of the 'Questions' at the end of the user story is 'Will the system record the display requirements and care instructions for each item...?'. The competency question directly addresses this explicitly stated need for the system to handle display requirements."
Is an item loaned or donated?,4,"The user story, specifically within the ""Example Data"" section for ""Loan Agreement"" details, explicitly mentions ""full donation"" as a possible term (e.g., for the Gibson J-160E Guitar: ""Compensation: ... (or 'indefinite loan,' or 'full donation')""; for David Bowie's Jumpsuit: ""Loan End Date: Indefinite (or specific date, or 'full donation')""; for Handwritten Lyrics: ""Loan End Date: Full donation (or specific date)""). This indicates that the system must be able to distinguish whether an item is loaned or donated. The competency question ""Is an item loaned or donated?"" directly addresses this explicitly expressed requirement."
What are the loan conditions?,4,"The user story explicitly states that Sonia provides ""proposed loan terms"" and the system captures ""loan agreements"". The ""Example Data"" section further details the components of a ""Loan Agreement"" for several items (e.g., Loan Start Date, Loan End Date, Compensation, Insurance, Transport), which are precisely the ""loan conditions"" the competency question asks about. Therefore, the competency question addresses a requirement that is explicitly expressed and detailed in the user story."
What are the preservation requirements for an item?,4,"The user story explicitly addresses the need to manage preservation-related information. The museum's mission is stated as ""preserving British music heritage."" More specifically, one of the questions defining the system's scope is: ""Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?"" The competency question ""What are the preservation requirements for an item?"" directly asks for the information that this explicitly stated system requirement implies needs to be captured and managed. Furthermore, the ""Example Data"" section details ""Display Requirements"" (e.g., climate control, UV-filtered lighting, handling instructions) which are concrete examples of preservation requirements for an item."
What is the condition of an item?,4,"The user story explicitly mentions 'condition reporting' in its keywords, states that the donor (Sonia) provides the 'current condition' of items, and that the system collects 'condition' as part of an artifact's information. The example data for each item also includes a detailed 'Condition' section. Therefore, the competency question directly addresses a requirement explicitly expressed in the user story."
Who is the insurance company insuring an item,3,"The user story explicitly states that insurance is part of the loan agreement (e.g., 'BME to provide insurance for the full value of the guitar'). While the specific name of the 'insurance company' is not explicitly listed as a data point to capture, knowing the actual underwriting company is a critical detail that can be inferred using common sense and domain knowledge regarding loan agreements for valuable items. For comprehensive documentation and transparency (goals mentioned in the user story), identifying the insurance company is a necessary piece of information related to the stated insurance provision."
Who loaned an item,4,"The user story explicitly identifies Sonia as the individual loaning items to the BME ('Sonia wants to seamlessly loan valuable and iconic items from her collection to the BME'). The system is designed to manage these loans and allows Sonia to 'maintain an ongoing overview of her loaned items,' which directly implies the system must know and store information about who loaned each item. Additionally, the system is described as capturing 'loan agreements,' and identifying the lender is a fundamental component of any loan agreement."
What is the insurance status of an item?,4,"The user story explicitly mentions 'Insurance' as a component of the 'Loan Agreement' in all three provided examples (e.g., 'BME to provide insurance for the full value of the guitar'). The competency question directly addresses this explicitly stated requirement."
What are the features of an item of type guitar,4,"The user story explicitly states that 'Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar).' It then provides detailed example data for 'The Gibson J-160E Guitar,' listing specific features such as Type, Brand, Model, and Serial Number. The competency question 'What are the features of an item of type guitar' directly addresses this explicitly stated requirement to capture type-specific features for guitars."
When was the item first purchased,4,"The user story explicitly states that 'provenance' information for artifacts must be captured (e.g., 'When adding a new item to the collection, various information of the artefact is collected, including: ... provenance...'). The example data for 'Provenance' for the Gibson J-160E Guitar includes 'Originally purchased by: (Original owner, if known)'. The competency question 'When was the item first purchased' directly asks for a key piece of information that constitutes the item's provenance and history, specifically related to its original acquisition. Therefore, it addresses a requirement explicitly expressed in the user story through the need to document provenance."
Does an item have a brand associated with it,4,"The user story explicitly mentions 'brand' as an attribute of an item. In the scenario, it states: 'Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar).' Furthermore, the 'Example Data' for 'The Gibson J-160E Guitar' includes 'Brand: Gibson' under 'Cataloguing information'."
What is the type of artefact is the item “Gibson J-160E”,4,"The user story explicitly states that when adding a new item, 'various information of the artefact is collected, including: cataloguing information'. It further clarifies that some attributes are 'specific to their type (e.g. the brand and type of a guitar)'. The 'Example Data' section for 'The Gibson J-160E Guitar' explicitly lists its 'Type: Acoustic-electric guitar' under 'Cataloguing information'. Therefore, the competency question addresses a requirement (knowing the type of an artefact) that is explicitly expressed and exemplified in the user story."
Where can an item be sent for repairs?,3,"The user story explicitly asks if the system will record 'care instructions for each item, ensuring its proper handling and preservation.' Common sense and domain knowledge suggest that care instructions for valuable and iconic items would likely include information or stipulations about where or by whom repairs should be conducted (e.g., approved conservators or specialists). Therefore, the competency question 'Where can an item be sent for repairs?' addresses a requirement that can be inferred from the need to capture comprehensive care instructions. Furthermore, information about past repairs (including location) would be part of the 'conservation history,' and tracking an item sent for repair would be relevant to 'tracking the movement of loaned items,' both of which are mentioned in the user story."
How can the item be displayed? (An original recording?),4,"The user story explicitly states multiple times that ""display requirements"" are a crucial piece of information to be captured for each loaned item. For instance, the scenario mentions, ""When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements..."" and the example data for each item includes a detailed ""Display Requirements"" section. The competency question ""How can the item be displayed?"" directly inquires about these explicitly mentioned requirements."
Is an item one of many items of the same types?,4,"The user story explicitly states that 'cataloguing information' including 'type' (e.g., 'Type: Acoustic-electric guitar', 'Type: Stage costume') is collected for each item. Furthermore, the example data for 'The Gibson J-160E Guitar' includes a 'Serial Number: (Unique identifier)', which is used to distinguish individual instances of a product type that can have multiple instances. The requirement to capture and manage items with specific types, and to distinguish individual instances (like those with serial numbers), means the system is explicitly designed to handle situations where multiple items of the same type exist. The competency question 'Is an item one of many items of the same types?' directly addresses this explicitly managed data structure by asking about the multiplicity of items for a given type, which is a fundamental aspect of cataloguing such items in the described knowledge base."
Are there requirements for an item to be returned?,4,"The user story explicitly states that the system captures 'loan agreements' (under 'Scenario': ""When adding a new item to the collection, various information of the artefact is collected, including: ... loan agreements, etc.""). The example data for loan agreements includes 'Loan End Date'. The 'Loan End Date' and other 'loan terms' (mentioned in Sonia's information compilation) directly constitute requirements for an item to be returned (e.g., when the loan period expires). Therefore, the competency question, which asks if such requirements exist, addresses a need that is explicitly covered by the system's function of capturing and managing loan agreement details."
What kind of metadata was provided for a loaned item when first acquired?,4,"The user story explicitly details the kinds of metadata that are provided by the donor (Sonia) and captured by the museum system (Liz) when an item is first acquired for loan. The US states, ""When adding a new item to the collection, various information of the artefact is collected, including: cataloguing information, provenance, condition, display requirements, loan agreements, etc."" The Example Data section further elaborates on these kinds of metadata. The competency question directly asks to identify these types of metadata, which are explicitly enumerated and described in the user story."
Does an item have a full history associated with it,4,"The user story explicitly states that the system needs to capture and store the 'history' and 'provenance' of items. For instance, Sonia 'compiles the details of these items, including their history,' and the system is intended for 'artifact documentation' and capturing 'provenance.' The example data provided includes sections for 'Provenance' (e.g., original owner, acquisition details, previous loans) and 'Conservation history.' Additionally, one of the key questions within the user story is: 'How will the system capture and store the complex history and significance of iconic items...'. The competency question 'Does an item have a full history associated with it' directly addresses this explicitly stated requirement."
What is the alias of a music artist?,3,"The user story requires cataloging ""Associated Artists"" for music memorabilia, providing examples like ""David Bowie."" In the music domain, artists frequently use stage names or other aliases (e.g., ""David Bowie"" is the stage name for David Robert Jones). Therefore, the ability to identify and retrieve an artist's alias is a requirement that can be directly inferred using common sense and domain knowledge to accurately represent artist information and enrich the knowledge base. The competency question ""What is the alias of a music artist?"" addresses this inferred need."
What is the name of a music artist?,4,"The user story, specifically within the 'Example Data' section, explicitly mentions 'Associated Artists' as a key piece of cataloguing information for items like 'The Gibson J-160E Guitar' (Associated Artists: John Lennon, George Harrison), 'David Bowie's Ziggy Stardust Jumpsuit' (Associated Artist: David Bowie), and 'Handwritten Lyrics for ""Bohemian Rhapsody""' (Associated Artist: Queen). The competency question 'What is the name of a music artist?' directly addresses this explicitly stated requirement to capture artist names."
What role did a music artist play within a music ensemble?,3,"The user story focuses on capturing comprehensive details about iconic music memorabilia, including 'cataloguing information,' 'history,' and 'significance' to enrich a knowledge base (S1 Goal, Scenario, Questions). The example data explicitly lists 'Associated Artists' (e.g., John Lennon, George Harrison, who were part of The Beatles; Queen, which is an ensemble) and 'Associated Works' (e.g., Beatles albums). The competency question 'What role did a music artist play within a music ensemble?' seeks to capture a specific attribute of these artists – their function within their musical group. This information is fundamental to understanding the artist's contribution, the context of the associated works, and thus the 'significance' of related memorabilia. While not explicitly stated as 'capture artist role,' the requirement to record such information is strongly inferable using domain knowledge about music cataloging and the user story's emphasis on creating a rich and detailed knowledge base about music heritage, as highlighted by the user story question 'How will the system capture and store the complex history and significance of iconic items...?'."
Who are the members of a a music ensemble?,4,"The user story explicitly requires capturing ""Associated Artists"" as part of the cataloguing information. The provided ""Example Data"" for ""The Gibson J-160E Guitar"" lists ""Associated Artists: John Lennon, George Harrison."" These individuals are members of the music ensemble The Beatles. This example explicitly demonstrates that the system must handle information about individual members of music ensembles as ""Associated Artists."" The competency question ""Who are the members of a music ensemble?"" directly addresses the system's capability to provide this type of information, which is shown to be a required piece of data within the user story."
Who is the composer of a music work?,4,"The user story specifies that ""cataloguing information"" is collected, and provides ""Example Data"" to illustrate this. One explicit example is ""Handwritten Lyrics for 'Bohemian Rhapsody' by Freddie Mercury."" This data point directly indicates the creator of the musical work (lyrics, and by common knowledge, Freddie Mercury is also the composer of the song ""Bohemian Rhapsody""). The competency question ""Who is the composer of a music work?"" directly addresses the need to capture this type of information, which is explicitly exemplified as a required piece of data in the user story."
Who is the designer of a costume?,4,"The user story explicitly mentions the need to capture 'cataloguing information' for artifacts. In the 'Example Data' section, for 'David Bowie's Ziggy Stardust Jumpsuit' (which is a costume), the 'Cataloguing information' explicitly includes 'Designer: Kansai Yamamoto'. Therefore, the competency question 'Who is the designer of a costume?' directly addresses a requirement that is explicitly expressed in the user story through its example data."
Which is the serial number of an instrument?,4,"The user story explicitly mentions 'Serial Number' as part of the 'Cataloguing information' for 'The Gibson J-160E Guitar' in the 'Example Data' section. An instrument is a type of artifact, and the CQ directly asks for this explicitly listed piece of information."
Which is the model of an instrument?,4,"The user story explicitly states that 'Model' is a piece of cataloguing information to be captured for an artifact. This is demonstrated in the 'Example Data' section for 'The Gibson J-160E Guitar', where 'Model: J-160E' is listed under 'Cataloguing information'. The system is designed to capture such details."
What is the brand of an instrument?,4,"The user story explicitly states that when adding a new item, 'various information of the artefact is collected, including: cataloguing information... Some of these attributes apply to every item; while others are more specific to their type (e.g. the brand and type of a guitar).' Furthermore, the 'Example Data' for 'The Gibson J-160E Guitar' explicitly lists 'Brand: Gibson' under 'Cataloguing information.' The competency question directly asks for this explicitly mentioned piece of information."
What is the family of an instrument?,3,"The user story states that 'cataloguing information' is collected, and provides 'type of a guitar' as an example of specific information for an item. In the domain of musical instruments, 'family' (e.g., strings, woodwind, brass, percussion) is a fundamental and standard part of cataloguing and classification, closely related to 'type'. For a system designed to 'enrich the museum's knowledge base' with 'metadata generation' for musical items for the British Music Experience, the requirement to know an instrument's family can be reasonably inferred using domain knowledge about musicology and museum cataloguing practices. It is a natural and expected piece of metadata for classifying musical instruments."
What is the size of an item?,3,"The user story explicitly states that 'cataloguing information' and 'display requirements' are collected for each artifact. The size of an item is a standard component of cataloguing information for physical objects in a museum context. Furthermore, determining 'display requirements' (such as a 'custom-fit mannequin' for the jumpsuit or 'framing' for the lyrics, both mentioned in the examples) inherently necessitates knowing the item's dimensions. Therefore, the competency question 'What is the size of an item?' addresses a requirement that can be inferred from the user story using common sense and domain knowledge about museum collections management."
What is the current condition of an item?,4,"The user story explicitly mentions the need to capture and manage the 'current condition' of items. This is highlighted in the keywords ('condition reporting'), the scenario (Sonia provides 'current condition'; Liz collects 'condition' information), the detailed example data for each item (which includes a 'Condition' section), and one of the concluding questions ('How will the system facilitate the creation of condition reports...'). The competency question 'What is the current condition of an item?' directly addresses this explicitly stated requirement."
Which materials is the item made of?,4,"The user story requires the system to capture detailed ""Condition"" information for artifacts. The provided ""Example Data"" explicitly includes material information within the ""Condition"" descriptions, such as ""fading of the fabric"" for David Bowie's jumpsuit and ""foxing of the paper"" for the handwritten lyrics. The competency question ""Which materials is the item made of?"" directly queries this type of information, which the user story shows is an explicit part of the data to be captured by the system. Additionally, the system is meant to capture ""cataloguing information"" and ""display requirements,"" both of which would typically include or depend on knowing the item's materials."
In which year was the item produced?,3,"The user story explicitly states that the system will capture the 'history' and 'cataloguing information' of the loaned items. The competency question 'In which year was the item produced?' directly pertains to a fundamental aspect of an item's history and is a standard piece of cataloguing information, especially for 'iconic items' and 'music memorabilia' as described. This can be inferred using common sense and domain knowledge in museum curation and artifact documentation. Furthermore, the example data includes other year-specific details (e.g., 'Refretted in (year)', 'Ziggy Stardust tour (year)'), indicating the relevance of capturing such chronological information."
What are the specific light level requirements for the item?,4,"The user story explicitly mentions that 'display requirements' are collected when adding an item to the knowledge base. The 'Example Data' section provides concrete examples of these display requirements, including specific 'Lighting' needs for each item (e.g., 'Low-level, UV-filtered lighting,' 'Indirect, low-level lighting'). The competency question 'What are the specific light level requirements for the item?' directly addresses this explicitly stated and exemplified requirement."
What are the specific humidity requirements for the item?,4,"The user story explicitly states that 'display requirements' are collected for each item. The 'Example Data' section further clarifies this by including 'humidity control' and 'stable temperature and humidity' as specific examples under 'Display Requirements' for artifacts. Additionally, a question within the user story asks, 'Will the system record the display requirements and care instructions for each item...'. The competency question, 'What are the specific humidity requirements for the item?', directly asks for a detail that is explicitly part of these 'display requirements' that the system is intended to capture and manage."
What are the specific temperature requirements for the item?,4,"The user story explicitly states that 'display requirements' for items will be recorded (e.g., 'When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements'; 'Will the system record the display requirements and care instructions for each item...'). The provided examples for 'Display Requirements' include 'climate-controlled display case,' 'climate-controlled environment with humidity control,' and 'stable temperature and humidity.' The competency question 'What are the specific temperature requirements for the item?' directly asks for a crucial detail necessary to define and implement these explicitly mentioned temperature-related display requirements. Therefore, it addresses a requirement explicitly expressed in the user story."
Does the item have any display requirements?,4,"The user story explicitly states in the scenario that when adding a new item, 'display requirements' are collected ('When adding a new item to the collection, various information of the artefact is collected, including: cataloguing information, provenance, condition, display requirements, loan agreements, etc.'). Furthermore, the 'Example Data' section provides detailed 'Display Requirements' for each listed item, and one of the 'Questions' at the end of the user story is 'Will the system record the display requirements and care instructions for each item...'. The competency question 'Does the item have any display requirements?' directly addresses this explicitly expressed requirement."
What is the agreed-upon value of the item for insurance purposes?,4,"The user story explicitly states that when adding an item, 'loan agreements' are collected. The 'Example Data' section further clarifies this by showing, under 'Loan Agreement' for 'The Gibson J-160E Guitar', the detail 'Insurance: BME to provide insurance for the full value of the guitar.' For the 'Handwritten Lyrics for ""Bohemian Rhapsody""', it mentions 'Compensation: Tax deduction for the appraised value'. The competency question 'What is the agreed-upon value of the item for insurance purposes?' directly asks for this 'full value' or 'appraised value', which is explicitly indicated as a piece of information to be captured as part of the loan agreement details."
What is the estimated value of the item?,4,"The user story's example data, which explicitly details the information to be captured and managed, includes financial values related to items. Specifically, for 'The Gibson J-160E Guitar', the loan agreement states 'Insurance: BME to provide insurance for the full value of the guitar,' and for the 'Handwritten Lyrics for ""Bohemian Rhapsody""', it mentions 'Compensation: Tax deduction for the appraised value'. The competency question 'What is the estimated value of the item?' directly addresses this requirement to know and store the item's value (be it 'full value' or 'appraised value'), which is explicitly expressed within the provided examples of data the system must handle."
When does the lend of the item end?,4,"The user story explicitly mentions 'loan agreements' as part of the information to be captured. The 'Example Data' section further details 'Loan Agreement' attributes, including 'Loan End Date' for multiple items. The competency question 'When does the lend of the item end?' directly corresponds to this 'Loan End Date' information, which is explicitly part of the system's requirements as illustrated by the examples."
When does the lend of the item start?,4,"The user story explicitly mentions that 'loan agreements' are part of the information collected when adding an item. The 'Example Data' section, which is an integral part of the user story, provides specific examples of loan agreements, and each example includes a 'Loan Start Date'. The competency question 'When does the lend of the item start?' directly corresponds to this 'Loan Start Date' attribute, which is explicitly shown as data to be captured."
Who is the current lender of an item?,4,"The user story explicitly states 'Sonia wants to seamlessly loan valuable and iconic items from her collection...'. This directly identifies Sonia as the lender. The system's purpose is to facilitate these loans and manage 'loan agreements,' which are explicitly mentioned as information to be captured. For the system to manage loans initiated by Sonia and allow her to track 'her loaned items' (also explicitly mentioned), it must know that Sonia is the lender of those items. Therefore, the competency question 'Who is the current lender of an item?' addresses a requirement that is explicitly expressed in the user story."
How was the item acquired by the museum?,4,"The user story explicitly states that ""loan agreements"" are captured when an item is added to the museum's collection (""When adding a new item to the collection, various information of the artefact is collected, including: ... loan agreements, etc.""). The provided example data for ""Loan Agreement"" details the borrower (BME) and terms of acquisition (e.g., loan duration, compensation, or ""full donation""). This information directly answers the competency question ""How was the item acquired by the museum?"". Therefore, the requirement for the system to store and provide this information is explicitly expressed in the user story."
What is the documented history of ownership of the item?,4,"The user story explicitly mentions 'provenance' as a key piece of information to be collected for each item (Scenario: ""When adding a new item to the collection, various information of the artefact is collected, including: cataloguing information, provenance...""). The example data further details what provenance includes, such as ""Originally purchased by,"" ""Originally owned by,"" and ""Acquired by Sonia,"" all of which directly relate to the documented history of ownership. Therefore, the competency question directly addresses an explicitly stated requirement."
